Source,Target,Type,Id,tweetword,Date
1,2,Undirected,0,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,3,Undirected,1,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,4,Undirected,2,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,5,Undirected,3,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,219,Undirected,4,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,220,Undirected,5,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,248,Undirected,6,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,249,Undirected,7,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,250,Undirected,8,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,277,Undirected,9,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,278,Undirected,10,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,469,Undirected,11,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,470,Undirected,12,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,479,Undirected,13,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,480,Undirected,14,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,481,Undirected,15,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,483,Undirected,16,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,484,Undirected,17,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,512,Undirected,18,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,513,Undirected,19,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,514,Undirected,20,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,520,Undirected,21,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,536,Undirected,22,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,537,Undirected,23,kindle2,Mon Apr 06 22:19:49 PDT 2009
1,538,Undirected,24,kindle2,Mon Apr 06 22:19:49 PDT 2009
2,1,Undirected,25,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,3,Undirected,26,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,4,Undirected,27,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,5,Undirected,28,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,219,Undirected,29,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,220,Undirected,30,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,248,Undirected,31,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,249,Undirected,32,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,250,Undirected,33,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,277,Undirected,34,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,278,Undirected,35,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,469,Undirected,36,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,470,Undirected,37,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,479,Undirected,38,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,480,Undirected,39,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,481,Undirected,40,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,483,Undirected,41,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,484,Undirected,42,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,512,Undirected,43,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,513,Undirected,44,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,514,Undirected,45,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,520,Undirected,46,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,536,Undirected,47,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,537,Undirected,48,kindle2,Mon Apr 06 22:19:53 PDT 2009
2,538,Undirected,49,kindle2,Mon Apr 06 22:19:53 PDT 2009
3,1,Undirected,50,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,2,Undirected,51,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,4,Undirected,52,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,5,Undirected,53,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,219,Undirected,54,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,220,Undirected,55,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,248,Undirected,56,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,249,Undirected,57,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,250,Undirected,58,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,277,Undirected,59,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,278,Undirected,60,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,469,Undirected,61,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,470,Undirected,62,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,479,Undirected,63,kindle2,Mon Apr 06 22:19:57 PDT 2009
3,480,Undirected,64,kindle2,Mon Apr 06 22:19:57 PDT 2009
