Id,Label,Tweetword,Date
1,vcu451,kindle2,Mon Apr 06 22:19:49 PDT 2009
2,chadfu,kindle2,Mon Apr 06 22:19:53 PDT 2009
3,SIX15,kindle2,Mon Apr 06 22:19:57 PDT 2009
4,yamarama,kindle2,Mon Apr 06 22:19:57 PDT 2009
5,GeorgeVHulme,kindle2,Mon Apr 06 22:20:00 PDT 2009
6,Seth937,aig,Mon Apr 06 22:20:03 PDT 2009
7,No,twitter,Mon Apr 06 22:20:00 PDT 2009
8,dcostalis,jquery,Mon Apr 06 22:20:03 PDT 2009
9,PJ_King,twitter,Mon Apr 06 22:20:05 PDT 2009
10,mandanicole,obama,Mon Apr 06 22:20:09 PDT 2009
11,jpeb,obama,Mon Apr 06 22:20:16 PDT 2009
12,kylesellers,obama,Mon Apr 06 22:20:17 PDT 2009
13,theviewfans,obama,Mon Apr 06 22:20:19 PDT 2009
14,MumsFP,nike,Mon Apr 06 22:20:19 PDT 2009
15,vincentx24x,nike,Mon Apr 06 22:20:20 PDT 2009
16,cameronwylie,lebron,Mon Apr 06 22:20:20 PDT 2009
17,luv8242,lebron,Mon Apr 06 22:20:22 PDT 2009
18,mtgillikin,lebron,Mon Apr 06 22:20:25 PDT 2009
19,ursecretdezire,lebron,Mon Apr 06 22:20:31 PDT 2009
20,Native_01,lebron,Mon Apr 06 22:20:34 PDT 2009
21,princezzcutz,lebron,Mon Apr 06 22:20:37 PDT 2009
22,peterlikewhat,lebron,Mon Apr 06 22:20:38 PDT 2009
23,emceet,lebron,Mon Apr 06 22:20:40 PDT 2009
24,CocoSavanna,iphone app,Mon Apr 06 22:20:40 PDT 2009
25,DreambigRadio,visa,Mon Apr 06 22:20:41 PDT 2009
26,andrewwatson,fredwilson,Mon Apr 06 22:20:44 PDT 2009
27,fredwilson,fredwilson,Mon Apr 06 22:20:50 PDT 2009
28,JoeSchueller,booz allen,Mon Apr 06 22:20:52 PDT 2009
29,scottabel,booz allen,Mon Apr 06 22:20:56 PDT 2009
30,JustMe_D,40d,Mon Apr 06 22:21:04 PDT 2009
31,hiteshbagai,40d,Mon Apr 06 22:21:07 PDT 2009
32,Annimallover,google,Mon Apr 06 22:21:07 PDT 2009
33,J_Holl,google,Mon Apr 06 22:21:09 PDT 2009
34,vamsmack,google,Mon Apr 06 22:21:11 PDT 2009
35,schroncd,aig,Mon Apr 06 22:21:21 PDT 2009
36,MarissaLeeD,itchy,Mon Apr 06 22:21:20 PDT 2009
37,robloposky,itchy,Mon Apr 06 22:21:27 PDT 2009
38,EdwinLValencia,itchy,Mon Apr 06 22:21:30 PDT 2009
39,imusicmash,stanford,Mon Apr 06 22:21:32 PDT 2009
40,drewloewe,lyx,Mon Apr 06 22:21:39 PDT 2009
41,VickyTigger,Danny Gokey,Mon Apr 06 22:21:39 PDT 2009
42,babblyabbie,sleep,Mon Apr 06 22:21:46 PDT 2009
43,kisjoaquin,sleep,Mon Apr 06 22:21:49 PDT 2009
44,Whacktackular,sleep,Mon Apr 06 22:21:53 PDT 2009
45,Adrigonzo,san francisco,Mon Apr 06 22:21:56 PDT 2009
46,sulu34,san francisco,Mon Apr 06 22:22:05 PDT 2009
47,schuyler,san francisco,Mon Apr 06 22:22:06 PDT 2009
48,MattBragoni,san francisco,Mon Apr 06 22:22:07 PDT 2009
49,KennyTRoland,aig,Mon Apr 06 22:22:13 PDT 2009
50,aMild,aig,Mon Apr 06 22:22:25 PDT 2009
51,Trazor1,aig,Mon Apr 06 22:22:23 PDT 2009
52,mimknits,star trek,Mon Apr 06 22:22:24 PDT 2009
53,GeeRen,star trek,Mon Apr 06 22:22:26 PDT 2009
54,checkyesjess,star trek,Mon Apr 06 22:22:30 PDT 2009
55,renano,Malcolm Gladwell,Mon Apr 06 22:22:32 PDT 2009
56,kottkedotorg,Malcolm Gladwell,Mon Apr 06 22:22:37 PDT 2009
57,davidm89,Malcolm Gladwell,Mon Apr 06 22:22:47 PDT 2009
58,livreal,Malcolm Gladwell,Mon Apr 06 22:22:47 PDT 2009
59,mikearosso,Malcolm Gladwell,Mon Apr 06 22:22:49 PDT 2009
60,wendy93639,espn,Mon Apr 06 22:22:49 PDT 2009
61,ClayFranklin,twitter api,Mon Apr 06 22:22:52 PDT 2009
62,cURLTesting,twitter api,Mon Apr 06 22:22:55 PDT 2009
63,ringerdrop,twitter api,Mon Apr 06 22:23:03 PDT 2009
64,danserfaty,twitter api,Mon Apr 06 22:23:08 PDT 2009
65,raykolbe,twitter api,Mon Apr 06 22:23:09 PDT 2009
66,CarolineVilas,yahoo,Mon Apr 06 22:23:15 PDT 2009
67,rachelbegins,scrapbooking,Mon Apr 06 22:23:23 PDT 2009
68,leedscentlib,wolfram alpha,Mon Apr 06 22:23:28 PDT 2009
69,PJ_King,star trek,Mon Apr 06 22:20:00 PDT 2009
70,sportsgirl505,nike,Mon Apr 06 22:23:28 PDT 2009
71,MatrixSystems,nike,Mon Apr 06 22:23:30 PDT 2009
72,cadburysgirl,nike,Mon Apr 06 22:23:35 PDT 2009
73,AddictedToFresh,nike,Mon Apr 06 22:23:39 PDT 2009
74,PJ_King,time warner,Mon Apr 06 22:20:00 PDT 2009
75,coreysmbpro,nike,Mon Apr 06 22:23:43 PDT 2009
76,PRolivia,nike,Mon Apr 06 22:23:43 PDT 2009
77,PJ_King,warren buffet,Mon Apr 06 22:20:00 PDT 2009
78,ErrantDreams,nike,Mon Apr 06 22:23:45 PDT 2009
79,PJ_King,obama,Mon Apr 06 22:20:00 PDT 2009
80,PJ_King,yahoo,Mon Apr 06 22:20:00 PDT 2009
81,PJ_King,nike,Mon Apr 06 22:20:00 PDT 2009
82,PJ_King,night at the museum,Mon Apr 06 22:20:00 PDT 2009
83,PJ_King,weka,Mon Apr 06 22:20:00 PDT 2009
84,PJ_King,lambda calculus,Mon Apr 06 22:20:00 PDT 2009
85,nikete,weka,Mon Apr 06 22:25:44 PDT 2009
86,bigdigit,50d,Mon Apr 06 22:25:44 PDT 2009
87,justinbettman,50d,Mon Apr 06 22:25:45 PDT 2009
88,read0,lambda calculus,Mon Apr 06 22:25:46 PDT 2009
89,BAK3R,lambda calculus,Mon Apr 06 22:25:49 PDT 2009
90,SLICKSPIT,east palo alto,Mon Apr 06 22:25:52 PDT 2009
91,ckwright,east palo alto,Mon Apr 06 22:25:53 PDT 2009
92,souleaterjh,stanford,Mon Apr 06 22:25:53 PDT 2009
93,susangao,stanford,Mon Apr 06 22:25:54 PDT 2009
94,jimmy_chan2009,stanford,Mon Apr 06 22:25:54 PDT 2009
95,a_fio,lakers,Mon Apr 06 22:25:56 PDT 2009
96,luvslikepi,north korea,Mon Apr 06 22:26:02 PDT 2009
97,utsagrad123,north korea,Mon Apr 06 22:26:06 PDT 2009
98,zed01,north korea,Mon Apr 06 22:20:00 PDT 2009
99,stabotage,north korea,Mon Apr 06 22:26:08 PDT 2009
100,zed01,pelosi,Mon Apr 06 22:26:10 PDT 2009
101,funky_old_man,bailout,Mon Apr 06 22:26:10 PDT 2009
102,malcozer,insects,Mon Apr 06 22:26:14 PDT 2009
103,AntoineTheReaL,insects,Mon Apr 06 22:26:18 PDT 2009
104,jonwolpert,insects,Mon Apr 06 22:26:21 PDT 2009
105,jachshore,mcdonalds,Mon Apr 06 22:26:22 PDT 2009
106,MamiYessi,mcdonalds,Mon Apr 06 22:26:27 PDT 2009
107,jvici0us,exam,Mon Apr 06 22:26:28 PDT 2009
108,enriquenieto,exam,Mon Apr 06 22:26:29 PDT 2009
109,Drummermatt_182,exam,Mon Apr 06 22:26:29 PDT 2009
110,filmcriticbeta,exam,Mon Apr 06 22:26:33 PDT 2009
111,lvlocal,cheney,Mon Apr 06 22:26:33 PDT 2009
112,QCWofNC,cheney,Mon Apr 06 22:26:38 PDT 2009
113,jepaco,cheney,Mon Apr 06 22:26:42 PDT 2009
114,ImportantQuotes,republican,Mon Apr 06 22:26:43 PDT 2009
115,fwhamm,twitter api,Mon Apr 06 22:26:45 PDT 2009
116,jos897,twitter api,Mon Apr 06 22:26:45 PDT 2009
117,jystewart,jquery book,Mon Apr 06 22:26:48 PDT 2009
118,cfbloggers,jquery book,Mon Apr 06 22:26:49 PDT 2009
119,CaerusMe,goodby silverstein,Mon Apr 06 22:26:52 PDT 2009
120,HallandPartners,goodby silverstein,Mon Apr 06 22:26:54 PDT 2009
121,suedecrush,goodby silverstein,Mon Apr 06 22:26:54 PDT 2009
122,_imageworks,goodby silverstein,Mon Apr 06 22:26:57 PDT 2009
123,dustinrowley,wieden,Mon Apr 06 22:27:00 PDT 2009
124,xzela,g2,Mon Apr 06 22:26:58 PDT 2009
125,mobiledreams,g2,Mon Apr 06 22:27:02 PDT 2009
126,crashfaster,g2,Mon Apr 06 22:27:08 PDT 2009
127,dragonal,g2,Mon Apr 06 22:27:15 PDT 2009
128,mastooo,googleio,Mon Apr 06 22:27:16 PDT 2009
129,maex242,googleio,Mon Apr 06 22:27:16 PDT 2009
130,specs20,lakers,Mon Apr 06 22:27:18 PDT 2009
131,BrandKarma,viral marketing,Mon Apr 06 22:27:21 PDT 2009
132,mattcad,viral marketing,Mon Apr 06 22:27:22 PDT 2009
133,grahamgrimshaw,viral marketing,Mon Apr 06 22:27:25 PDT 2009
134,nicoleisms,viral marketing,Mon Apr 06 22:27:31 PDT 2009
135,Cristinellaa,night at the museum,Mon Apr 06 22:27:34 PDT 2009
136,MzJill,night at the museum,Mon Apr 06 22:27:35 PDT 2009
137,Lynn_Sky,night at the museum,Mon Apr 06 22:27:45 PDT 2009
138,bobster56,night at the museum,Mon Apr 06 22:27:45 PDT 2009
139,jordanforeman,night at the museum,Mon Apr 06 22:27:55 PDT 2009
140,britree,night at the museum,Mon Apr 06 22:27:56 PDT 2009
141,jellz,night at the museum,Mon Apr 06 22:27:56 PDT 2009
142,droherty,night at the museum,Mon Apr 06 22:27:57 PDT 2009
143,sarahbrooke,night at the museum,Mon Apr 06 22:28:02 PDT 2009
144,jeremyempire,night at the museum,Mon Apr 06 22:28:03 PDT 2009
145,MirandaClues,night at the museum,Mon Apr 06 22:28:04 PDT 2009
